Index,Date,Number_Sites,Species,Number_Species,AnonymSite
31,17/09/2021,1,"['No_pollinators_recorded' 'Red_admiral' 'Cannot_ID_hoverfly'
 'Small_white']",4,SiteB
32,20/09/2021,1,['No_pollinators_recorded' 'Red_admiral' 'Cannot_ID_hoverfly'],3,SiteD
33,20/09/2021,1,['Cannot_ID_hoverfly' 'No_pollinators_recorded' 'Comma' 'Small_white'],4,SiteE
34,21/09/2021,1,['No_pollinators_recorded' 'Small_white'],2,SiteG
35,22/09/2021,1,['No_pollinators_recorded' 'Large_white'],2,SiteO
36,22/09/2021,1,['No_pollinators_recorded' 'Cannot_ID_hoverfly'],2,SiteJ
37,23/09/2021,1,['No_pollinators_recorded' 'Cannot_ID_hoverfly' 'Speckled_wood'],3,SiteI
38,23/09/2021,1,"['Common_carder_bee' 'Tree_bumblebee' 'No_pollinators_recorded'
 'Speckled_wood' 'Small_heath' 'Red_admiral']",6,SiteH
39,24/09/2021,1,['Cannot_ID_hoverfly' 'No_pollinators_recorded' 'Common_carder_bee'],3,SiteL
40,27/09/2021,1,['Cannot_ID_moth' 'No_pollinators_recorded'],2,SiteK
41,28/09/2021,1,['No_pollinators_recorded' 'Honeybee'],2,SiteM
42,28/09/2021,1,['Cannot_ID_hoverfly' 'No_pollinators_recorded'],2,SiteN
